image_file,width,height,aspect_ratio,rms_contrast,lightness_entropy,complexity,edge_density,mean_L,mean_a,mean_b,color_entropy,mirror_symmetry,balance,fourier_slope,eoe_1st,eoe_2nd,ssim,lpips,lab_ok,rms_ok,edge_ok,eoe_ok,color_entropy_ok,fourier_ok,symmetry_ok,balance_ok,compliance_pct,img_file
68636_317528.jpg,900,,1.0,10.481,,3.222,38.4,73.418,-3.554,0.66,5.15,15.977,4.935,,3.924,0.0006782,,,False,False,False,False,True,False,False,True,25.0,68636_317528.jpg
68637_317527.jpg,900,,1.0,10.481,,3.222,38.4,73.418,-3.554,0.66,5.15,15.977,4.935,,3.924,0.0006782,,,False,False,False,False,True,False,False,True,25.0,68637_317527.jpg
68649_273034.jpg,2000,,1.0,6.147,,0.8998,12.699,87.159,2.134,0.4725,3.938,2.594,8.399,,3.891,0.00117,,,False,False,False,False,True,False,True,True,37.5,68649_273034.jpg
68660_209792.jpg,2000,,1.0,29.862,,6.317,114.611,66.403,11.921,-0.5426,5.113,41.881,18.415,,4.527,0.0005509,,,False,True,False,True,True,False,False,True,50.0,68660_209792.jpg
68660_209793.jpg,2000,,1.0,24.731,,4.092,61.307,81.85,4.025,0.5166,4.362,19.989,27.726,,4.212,0.0007724,,,False,True,False,True,True,False,False,False,37.5,68660_209793.jpg
68660_209794.jpg,2000,,1.0,36.611,,5.19,91.8,56.952,6.701,-5.205,4.777,28.993,18.602,,4.446,0.0006267,,,False,False,False,True,True,False,False,True,37.5,68660_209794.jpg
68717_329503.jpg,2000,,1.0,28.857,,4.926,90.705,71.003,1.727,8.365,5.04,19.569,21.169,,4.005,0.0005232,,,True,True,False,True,True,False,False,False,50.0,68717_329503.jpg
68793_317329.jpg,2000,,1.0,18.926,,2.789,34.906,79.626,2.971,-1.318,4.481,37.782,19.55,,3.825,0.0007524,,,False,True,False,False,True,False,False,True,37.5,68793_317329.jpg
68794_317328.jpg,2000,,1.0,18.926,,2.789,34.906,79.626,2.971,-1.318,4.481,37.782,19.55,,3.825,0.0007524,,,False,True,False,False,True,False,False,True,37.5,68794_317328.jpg
68799_289868.jpg,2000,,1.0,6.321,,1.319,25.276,92.289,2.541,6.252,4.747,30.162,11.178,,4.184,0.0007237,,,False,False,False,True,True,False,False,True,37.5,68799_289868.jpg
68858_309200.jpg,1200,,1.0,35.465,,6.62,81.698,57.968,9.469,5.198,4.361,41.652,16.463,,4.212,0.00047,,,False,False,False,True,True,False,False,True,37.5,68858_309200.jpg
68858_309201.jpg,1200,,1.0,35.465,,6.62,81.698,57.968,9.469,5.198,4.361,41.652,16.463,,4.212,0.00047,,,False,False,False,True,True,False,False,True,37.5,68858_309201.jpg
68860_297700.jpg,900,,1.0,19.054,,1.981,32.631,92.138,-1.946,4.152,1.949,6.247,38.557,,3.504,0.001314,,,False,True,False,False,False,False,False,False,12.5,68860_297700.jpg
68861_297701.jpg,900,,1.0,10.188,,1.076,19.142,95.739,1.564,4.194,1.863,9.114,35.738,,3.139,0.001314,,,False,False,False,False,False,False,False,False,0.0,68861_297701.jpg
68862_192644.png,2024,,0.8333,15.098,,0.7744,27.716,91.956,-2.474,4.173,1.3,4.565,33.437,,3.167,0.001382,,,False,True,False,False,False,False,True,False,25.0,68862_192644.png
68862_297704.png,990,,0.8333,15.147,,1.441,27.766,91.949,-2.451,4.125,1.375,4.556,33.465,,3.174,0.001384,,,False,True,False,False,False,False,True,False,25.0,68862_297704.png
68864_297709.jpg,1013,,0.7993,17.673,,1.576,28.841,90.392,-2.464,16.282,3.502,5.026,41.928,,3.557,0.001162,,,True,True,False,False,True,False,False,False,37.5,68864_297709.jpg
68887_297710.jpg,900,,1.0,22.118,,4.644,65.968,89.434,-2.938,4.812,3.139,3.991,31.026,,4.172,0.0009601,,,False,True,False,True,True,False,True,False,50.0,68887_297710.jpg
68888_297716.jpg,878,,1.051,30.513,,7.637,104.312,69.195,19.984,6.755,4.652,39.733,14.943,,4.383,0.0006465,,,False,False,False,True,True,False,False,True,37.5,68888_297716.jpg
68889_297717.jpg,900,,1.0,22.561,,6.087,73.348,88.456,4.536,8.261,2.763,10.505,28.217,,4.332,0.001054,,,True,True,False,True,False,False,False,False,37.5,68889_297717.jpg
68890_297718.jpg,900,,1.0,19.45,,4.448,65.209,91.192,1.672,5.669,2.625,4.554,25.727,,4.343,0.001102,,,False,True,False,True,False,False,True,False,37.5,68890_297718.jpg
68895_297779.jpg,878,,1.051,20.727,,6.605,98.841,84.757,-0.6063,23.692,4.165,14.355,18.667,,4.384,0.0006655,,,True,True,False,True,True,False,False,True,62.5,68895_297779.jpg
68906_297835.png,912,,0.974,14.114,,2.386,45.188,92.786,-2.289,13.185,2.369,7.434,36.191,,4.165,0.001094,,,True,False,False,True,False,False,False,False,25.0,68906_297835.png
68907_192722.jpg,2000,,1.0,17.509,,3.625,66.867,90.507,5.232,-0.2577,3.644,3.558,24.951,,4.355,0.0008671,,,False,True,False,True,True,False,True,False,50.0,68907_192722.jpg
68907_297836.jpg,900,,1.0,17.405,,5.481,66.527,90.461,5.142,-0.2746,3.843,3.619,24.903,,4.356,0.0008676,,,False,True,False,True,True,False,True,False,50.0,68907_297836.jpg
68914_192736.jpg,2200,,1.0,19.75,,2.999,68.714,89.902,-1.36,6.211,2.662,2.565,26.229,,4.308,0.0009557,,,False,True,False,True,False,False,True,False,37.5,68914_192736.jpg
68914_298019.jpg,900,,1.0,19.746,,5.538,68.646,89.829,-1.852,5.961,3.0,2.556,26.134,,4.311,0.0009487,,,False,True,False,True,True,False,True,False,50.0,68914_298019.jpg
69054_304337.jpg,1600,,1.0,24.173,,3.247,49.033,85.258,8.529,-8.22,2.329,19.769,34.819,,4.038,0.001116,,,False,True,False,True,False,False,False,False,25.0,69054_304337.jpg
69146_312219.jpg,1620,,1.0,19.143,,3.628,36.505,84.603,1.571,-1.435,3.447,7.184,25.021,,4.149,0.0009519,,,False,True,False,True,True,False,False,False,37.5,69146_312219.jpg
